,ACCT_ID_M,DIRECT_DEBIT_FLAG,NUM_PAYMENT_CHALLENGED_6M,NUM_REFUNDS_3M,CHANNEL_PAY_APOST_12M,CHANNEL_PAY_BPAY_12M,CHANNEL_PAY_BPOINT_12M,CHANNEL_PAY_DD_SAVING_12M,CHANNEL_PAY_DD_CREDIT_12M
1576148,22286957,0,0,0,0,0,4,0,0
598661,18123487,1,0,0,0,0,0,0,6
1250440,25001281,0,0,0,0,1,0,0,0
336228,9883559,0,0,0,7,0,0,0,0
628211,23810473,0,0,0,0,0,4,0,0
492602,14087751,1,0,0,0,0,0,0,4
2343389,16766865,1,0,0,0,0,0,0,4
563875,17170873,0,0,0,0,4,0,0,0
1960620,3805687,0,0,0,0,7,0,0,0
879641,4988929,0,0,0,5,0,0,0,0
2282409,19541285,1,0,0,0,0,0,4,0
323070,21883497,0,0,0,1,0,4,0,0
855419,20915895,0,0,0,0,0,21,0,0
1284337,24407191,0,0,0,0,0,0,0,0
1458234,7637273,0,0,0,4,0,0,0,0
1991714,20574091,1,0,0,0,0,0,4,0
526070,462345,0,0,0,0,4,0,0,0
1323875,24557789,0,0,0,0,1,0,0,0
1922512,18658347,0,0,0,0,4,0,0,0
761002,4018037,0,0,0,0,4,0,0,0
1431415,23208853,1,0,0,0,0,0,4,0
936876,25436229,0,0,0,0,0,0,0,0
996415,19966185,0,0,0,0,6,0,0,0
1111840,12591381,0,0,0,0,6,0,0,0
1860419,9613837,0,0,0,0,0,5,0,0
1623952,14227667,0,0,0,0,5,0,0,0
2181103,7549027,0,0,0,0,2,3,0,0
874825,18805287,1,0,0,0,0,0,0,6
2160959,17301055,0,0,0,20,5,0,0,0
1228926,25264837,0,0,0,0,0,0,0,0
62143,23371099,0,0,0,0,3,1,0,0
228069,14242047,1,0,0,0,0,0,5,0
1594942,1983687,0,0,0,3,0,1,0,0
2151135,24542145,0,0,0,0,0,3,0,0
1704239,511,0,0,0,0,13,0,0,0
1552704,16112381,0,0,0,4,0,0,0,0
287044,12802801,0,0,0,0,52,0,0,0
82544,22467175,1,0,0,0,0,0,6,0
55708,25609581,1,0,0,0,0,0,0,0
390902,3027799,1,0,0,0,0,0,0,4
1300243,12354867,1,0,0,0,0,0,0,4
2260540,24877267,1,0,0,0,0,0,8,0
1109383,3245323,0,0,0,0,0,4,0,0
1350644,19638389,0,0,0,0,4,0,0,0
1064552,23821153,1,0,0,0,6,1,2,0
614581,10327485,0,0,0,0,0,4,0,0
857593,20608737,0,0,0,0,3,0,0,0
883374,24110635,1,0,0,0,0,0,4,0
2238490,23490129,0,0,0,0,0,0,0,0
2292513,4591919,0,0,0,0,25,1,0,0
2291221,12733559,0,0,0,4,0,0,0,0
1946765,23720383,0,0,0,0,4,0,0,0
468701,3198247,0,0,0,0,4,0,0,0
117346,8820661,0,0,0,4,0,0,0,0
982236,2675057,0,0,0,0,4,0,0,0
676743,17627789,0,0,0,0,0,6,0,0
629560,8870181,0,0,0,0,4,0,0,0
737280,24964831,0,0,0,0,0,1,0,0
288448,22520225,0,0,0,0,0,42,0,0
1310575,19732095,0,0,0,0,1,3,0,0
1109008,19140855,0,0,0,0,4,0,0,0
1486735,24444517,0,0,0,0,0,3,0,0
682957,25043865,1,0,0,0,0,0,0,0
621058,20560329,1,0,0,0,0,0,4,0
813101,21340379,0,0,0,0,4,0,0,0
1831795,22366687,0,0,0,0,4,0,0,0
157177,8455569,0,0,0,6,0,0,0,0
1537827,1104349,0,0,0,0,1,5,0,0
949993,12550231,0,0,0,5,0,0,0,0
110403,23413427,0,0,0,0,0,4,0,0
385362,25528959,1,0,0,0,0,0,0,0
304127,15938445,0,0,0,0,13,0,0,0
621444,15376235,0,0,0,0,6,0,0,0
437504,15209131,0,0,0,0,0,0,0,0
2182198,21522387,0,0,0,0,1,3,0,0
1338620,23711125,0,0,0,0,0,4,0,0
890045,15173309,0,0,0,0,3,0,0,0
2220837,25177177,0,0,0,0,0,0,0,0
777799,18213577,0,0,0,0,0,1,0,0
617178,11269939,0,0,0,0,26,0,0,0
1186683,10296133,0,0,0,1,0,0,0,0
2225288,7489409,1,0,0,0,0,0,4,0
1121373,17638653,0,0,0,0,0,0,0,0
492685,5468355,0,0,0,0,5,0,0,0
2160141,22606311,0,0,0,0,3,1,0,0
514887,24829459,1,0,0,0,0,0,1,0
1181538,10126309,0,0,0,0,6,0,0,0
1387832,21089433,0,0,0,3,0,1,0,0
927131,5978353,0,0,0,6,0,0,0,0
1947212,23002829,0,0,0,0,4,0,0,0
1139985,24768399,0,0,0,0,0,1,0,0
1285393,19174737,0,0,0,4,0,0,0,0
1229642,23406877,0,0,0,0,26,0,0,0
1451061,25164941,1,0,0,0,0,0,1,0
65044,17487093,0,0,0,4,0,0,0,0
1614786,25361249,0,0,0,0,0,0,0,0
91655,23123811,0,0,0,0,0,4,0,0
1720763,25317833,0,0,0,0,0,0,0,0
260297,25089151,0,0,0,0,0,1,0,0
933096,10565829,0,0,0,0,0,4,0,0
1451338,22850797,0,0,0,0,4,0,0,0
691976,3043905,1,0,0,0,0,0,24,0
628373,23591689,0,0,0,0,13,1,0,0
476289,5596445,0,0,0,0,3,1,0,0
167200,24468075,0,0,0,0,3,1,0,0
394923,10348379,1,0,0,0,0,0,4,0
1303333,25129631,0,0,0,0,1,0,0,0
1664380,21852787,0,0,0,0,3,0,0,0
244590,21893321,1,0,0,0,0,0,0,4
2118164,2690037,0,0,0,3,0,0,0,0
136627,16777683,0,0,0,0,5,0,0,0
2277000,23942393,1,0,0,0,1,0,2,0
2179520,14644043,0,0,0,0,4,0,0,0
2200518,21131901,0,0,0,0,1,3,0,0
1113013,19960409,0,0,0,0,11,0,1,0
1108803,18010863,0,0,0,0,4,0,0,0
157270,2506419,1,0,0,0,0,0,3,0
1795100,19326505,0,0,0,0,0,4,0,0
1304558,23808653,0,0,0,0,7,0,0,0
1138777,25430103,0,0,0,0,0,0,0,0
1931782,20835863,0,0,0,4,0,0,0,0
1392146,21783485,0,0,0,0,3,1,0,0
751426,10043951,1,0,0,0,0,0,0,4
1567666,14187227,0,0,0,0,23,0,0,0
1144098,12200853,1,0,0,0,0,0,4,0
234322,14184529,0,0,0,0,4,0,0,0
492192,14266045,0,0,0,0,6,0,0,0
741040,10489867,1,0,0,0,0,0,0,0
1255322,14594155,0,0,0,0,26,0,0,0
1357892,23235913,1,0,0,0,0,1,3,0
1085840,24470399,0,0,0,0,0,0,0,0
