,ACCT_ID_M,PREMISE_POSTCODE
2005242,6550785,2870
1495559,12930741,2261
36209,12530721,3357
2064628,10290665,2063
302863,20090317,2000
280217,9226575,2193
1995726,8722385,3133
430616,22234381,2290
239220,25009163,3806
1962810,6017981,3039
1467673,23537481,2203
1364122,973057,2284
1034262,16197765,3150
122273,3842387,2011
1775388,167039,2335
1390611,21388579,2138
360239,8244119,2065
1156105,25091745,2133
473715,12221345,3047
2193433,19623803,2000
1819761,23199985,2430
1594563,22366517,2133
1609083,17585651,2162
690014,6965023,3840
1597729,25613337,2256
1196397,24896597,3818
2106123,22422567,3851
198718,2539007,2074
1009900,25250797,5085
624621,24894307,2251
1692374,25250717,3337
1854216,23602861,2760
278254,22662985,2040
1940064,2942429,3860
1759939,22222649,2150
201299,21244093,2087
985955,10078171,2283
17832,4546997,2101
429917,12729619,3150
1557893,18831319,2140
1064075,18658847,2428
1035350,21431305,4035
2137640,8029839,2133
267985,3924643,2142
311481,25031663,2127
1344142,9947559,3152
863155,24142093,2824
934447,19606001,5044
413369,20574079,5238
620936,19401285,3350
1415635,24512213,3814
710680,11250765,3980
1862272,14216431,3046
305380,14173309,3128
1005200,18345335,3756
1984321,17476699,2852
2187048,24051479,2785
2302690,11299839,3030
1526442,25031327,2088
481051,23982523,2914
512766,9320113,2144
1278239,18837567,2228
571821,24903425,3216
2256047,24539739,4020
1019366,20580433,4103
1332712,17475651,2195
518848,18434023,3418
1578949,23698787,2077
1233778,23788049,3020
462070,24132489,2025
726937,20996125,3217
1029043,24735359,3756
965858,13560855,2046
429203,3873485,2761
585537,6610237,3012
981236,17314691,3084
2077456,23026403,2259
1070618,22113591,3844
640021,9529835,2750
489845,21703005,2022
1553242,3226577,2101
1253851,15892019,2068
310669,11208557,3047
2024053,6983753,3054
355424,19141395,5422
820049,10829249,2620
2227383,13086997,2035
186034,25544563,3016
2116380,9913465,3016
1342957,24829369,3173
1565895,8663965,2318
14723,18671265,3029
1571079,4630937,2267
965387,2695083,3805
2053472,8192893,2194
327622,13703397,3109
1559430,24013415,2324
889300,918335,3000
2276284,24420295,2061
1125770,14604233,2145
1904090,10055175,3148
821512,12083127,3095
1234925,9166629,3055
2046045,7477595,3029
1398583,25022037,2194
592378,14693577,2565
1214901,24567889,2325
1703231,11584125,3109
944068,24909385,2037
1543877,24236153,2025
1092147,7469445,2219
1861585,1868079,2250
1603655,8408799,3008
89263,22066529,3064
1417342,21949241,3160
2013418,20685563,3672
1725353,22995289,3934
202236,23701857,2069
1497607,12414117,3806
1627853,1867589,3338
1590263,6097937,2170
217697,3405253,2223
793080,24147403,2065
1381587,7739829,2170
2118409,2524551,3140
267842,18228299,3030
1783825,22862787,2299
288349,3120697,5110
2252522,18407059,2166
423520,24471021,2600
1921196,18890561,3802
2228724,7920173,3084
2053964,4566867,2194
1753676,8463003,2050
1975154,18111805,2760
544339,12184263,2220
1607041,22319173,2440
1488434,23922661,3073
1042932,1564041,3021
2345739,21610213,2122
487673,3197923,2250
810462,25232863,2064
1233635,24760517,2320
1853700,24738363,2138
1908050,24400087,2016
157552,4462697,2068
596696,17680527,2146
384268,5835369,3070
486170,4649459,4051
2037309,24470843,3550
1590921,1340471,2500
2031880,4425047,3796
1374421,13234339,2023
1789819,5443495,3885
2048441,7740263,3660
1324671,24814001,2282
1377275,23867587,2217
1207700,21420687,3173
925556,14806883,3082
1867564,2758325,4128
200980,19093265,2082
1294885,21577961,2108
85877,19823869,2068
1893578,24551969,2112
1387722,1004367,2000
1996420,14852803,2224
553272,23744271,2444
112298,25415405,2640
1603435,14397395,4551
1169580,305079,2101
1739447,20732423,3550
2080984,856399,3079
206221,23918495,2486
966930,22564781,3101
2034990,21443223,2570
2188171,17115507,2617
1248461,24476061,2031
396716,7753315,2019
1062352,16407273,4035
1090348,10735691,2039
2047684,9395667,2106
594468,4392307,3075
1566457,15043587,3631
2165788,23923557,4170
1508909,17575333,2145
1880249,21508591,3754
138567,4831885,3037
1566686,22478907,2259
1415282,24620319,2210
1706500,24981589,2155
144199,21474477,2540
1352902,6511141,2070
269610,19788025,3064
2287344,9708093,2049
763950,20724921,2162
18472,24703979,3122
465009,18362301,2200
683846,16297045,2232
1302171,16984183,2577
57228,24457553,2209
