,ACCT_ID_M,OFFER_CHANNEL_CODE,ACQ_BROKER_EVER,ACQ_EXTERNAL_EVER,ACQ_INTERNAL_EVER,DEPT_Sales Chat
691976,3043905,,0,0,0,0.0
628373,23591689,NBSC,0,1,0,
476289,5596445,DIGITAL,0,0,1,
167200,24468075,NBSC,0,0,1,0.0
394923,10348379,NBSC,0,0,1,
1296158,18427947,NBSC,0,0,1,
207540,21827067,NBSC,0,0,1,
1303333,25129631,ONLINETPU,0,0,1,0.0
1664380,21852787,ONLINETPU,0,0,1,
1639097,12872127,NBSC,0,1,0,
2118164,2690037,ONLINETPU,0,0,1,
136627,16777683,,0,0,0,
2277000,23942393,DIGITAL,0,0,1,
2179520,14644043,DATACOM,0,0,1,0.0
2200518,21131901,NBSC,0,0,1,
1113013,19960409,NBSC,0,0,1,0.0
1795100,19326505,NBSC,0,0,1,
1304558,23808653,CIC_SRV,0,0,1,
1931782,20835863,NBSC,0,0,1,
751426,10043951,NBSC,0,0,1,0.0
1567666,14187227,ONLINETPU,0,1,0,0.0
1144098,12200853,CST,0,0,1,
234322,14184529,NBSC,0,0,1,
1357892,23235913,ONLINETPU,0,0,1,0.0
1116435,16866741,,0,0,0,0.0
1085840,24470399,BEC,0,1,0,
1967181,23394547,NBSC,0,0,1,
1641727,19144385,NEWCON,0,1,1,
2154233,1358465,,0,0,0,
716646,23268427,NBSC,0,0,1,
1752712,8492951,ONLINE,0,0,1,
1673193,22854787,ONLINETPU,0,0,1,
471294,22245785,DIGITAL,0,0,1,
65787,18224399,ONLINETPU,0,0,1,
2034108,3308653,,0,0,0,
663743,24156389,NBSC,0,1,0,0.0
1148678,4230265,CIC_SAL,0,0,1,
311484,21984193,NEWCON,0,0,1,
1908742,25537757,DIGITAL,0,0,1,
1193193,25211449,ONLINETPU,0,1,0,
2052991,16351713,NBSC,0,0,1,
398747,19910907,NBSC,0,0,1,
1388112,4773697,,0,0,0,
1252755,2566587,NBSC,0,0,1,
1880012,15451085,NBSC,0,0,1,
2299593,13742299,DATACOM,0,0,1,
738506,24851769,ONLINETPU,0,1,0,0.0
1557674,5562179,ONLINETPU,0,0,0,
2158605,52123,ONLINETPU,0,0,1,
277265,24536553,ONLINETPU,0,0,1,
503692,13845479,CIC_SAL,0,0,1,0.0
771430,22983693,DIGITAL,0,0,1,
2221199,25122567,ONLINETPU,0,1,0,
1497744,6717227,ONLINETPU,0,0,1,
726091,20670709,NBSC,0,0,1,
1622946,17722265,NBSC,0,1,0,0.0
1304613,24032649,NBSC,0,1,0,
669505,16197193,ONLINETPU,0,0,1,
1394812,23839175,NBSC,0,0,0,
956121,24432175,ONLINETPU,0,0,1,
1020002,17643073,NBSC,0,0,1,
1316668,21046293,NBSC,0,0,1,
1251749,24330963,NEWCON,0,1,0,
1663299,7645051,ONLINETPU,0,0,1,
1857867,25425417,ONLINETPU,0,0,0,0.0
358877,1335355,ONLINETPU,0,1,1,
1176424,25574351,NBSC,0,0,1,0.0
522652,8829551,,0,0,0,
1838139,24109867,DIGITAL,0,0,1,
1307787,20799747,CIC_SAL,0,0,1,
1259789,18849821,ONLINETPU,0,0,1,
1039625,21523771,NBSC,0,0,1,
1794060,13908367,CIC_SAL,0,0,1,
2076707,24625837,ONLINETPU,0,1,0,
213907,7984041,DIGITAL,0,0,1,
722371,9296427,NBSC,0,0,1,
70221,15924083,,0,0,0,
1585290,11163891,ONLINETPU,0,0,1,
590594,23205331,ONLINETPU,0,0,1,
764300,24062577,ONLINETPU,0,0,1,0.0
1682106,13135839,,0,0,0,
1831968,12466075,,0,0,0,
