,ACCT_ID_M,CVM_TOTAL_BILL_GROSS,CVM_AN_PERIOD_GM,CVM_REV_BILLED_DAYS,CVM_HOURS_WATCHED_TOTAL,CVM_SPORTS_HOURS_WATCHED_TOTAL,CVM_REV_LOYALTY_R_R_AMT
982236,2675057,346.2720166666666,118.73140999999997,366.0,1136.909090909091,,
676743,17627789,134.8032,133.99943000000002,366.0,3718.5454545454545,,
434909,10891961,140.10575,101.51336,344.0,332.0,,
629560,8870181,209.52179999999998,69.51065000000001,365.0,568.1818181818181,,
737280,24964831,,,,,,
288448,22520225,81.08033333333334,79.88538275,112.0,2366.181818181818,,
1310575,19732095,162.71911666666674,65.44783000000002,352.0,411.09090909090907,,
1565754,14689273,338.50716666666665,-76.51577999999998,358.0,1047.2727272727273,-302.3763551515152,
1911495,22823771,,,,,,
1109008,19140855,275.51685000000003,78.25824000000003,366.0,630.1818181818181,,
1486735,24444517,,,,,,
682957,25043865,,,,,,
621058,20560329,499.64461666666665,541.21065,320.0,1802.0,,
813101,21340379,124.24675,74.10927,317.0,278.72727272727275,,
1831795,22366687,70.95526666666667,-102.92021,90.0,57.45454545454545,,
157177,8455569,372.9187166666668,75.61453000000003,358.0,15845.818181818182,,
2068156,22495541,61.93398333333334,110.93349000000002,157.0,660.1818181818181,,
1537827,1104349,502.7173833333333,133.70432999999997,342.0,23090.363636363636,,
479972,25327407,,,,,,
949993,12550231,222.16105000000002,167.60631,356.0,809.8181818181819,,
110403,23413427,,,,,,
1715954,4466455,138.67351666666667,94.73,344.0,3468.5454545454545,,
385362,25528959,,,,,,
304127,15938445,174.29916666666668,128.11525,365.0,405.6363636363636,,
621444,15376235,165.1300833333333,88.15625999999997,364.0,4665.272727272727,,
437504,15209131,440.00455000000005,-65.40369000000004,366.0,1602.5454545454545,,
1486076,24392727,,,,,,
2182198,21522387,291.5548666666668,150.34356000000002,281.0,954.1818181818181,,
1338620,23711125,,,,,,
890045,15173309,151.81281666666666,65.80458000000002,361.0,127.45454545454545,,
2220837,25177177,,,,,,
1511935,11176491,395.0583166666667,240.33032999999998,346.0,1285.4545454545455,,
777799,18213577,765.4276333333331,173.04129,334.0,3330.5454545454545,,
2103502,13248125,131.52388333333337,76.89848,366.0,198.36363636363637,,
617178,11269939,331.6195,44.53907000000001,348.0,15399.636363636364,,
606499,23903273,,,,,,
1186683,10296133,133.8599,73.68621,337.0,326.90909090909093,,
2225288,7489409,163.31833333333338,101.84082500000004,350.0,4671.818181818182,,
1121373,17638653,,,,,,
492685,5468355,59.241899999999994,80.968875,366.0,623.8181818181819,,
2160141,22606311,312.7938666666667,152.36001000000005,79.0,1188.909090909091,,
514887,24829459,,,,,,
1181538,10126309,96.80040000000001,118.59978,360.0,2549.4545454545455,,
1387832,21089433,130.01593333333332,74.88561999999999,332.0,356.0,,
927131,5978353,334.7556666666667,97.93222,366.0,13884.181818181818,,
1947212,23002829,,,,,,
1139985,24768399,,,,,,
1514361,18629391,1779.054916666667,1021.94115,364.0,5503.454545454545,,
1285393,19174737,,,,,,
369342,23141825,,,,,,
1229642,23406877,,,,,,
1451061,25164941,,,,,,
