,ACCT_ID_M,DAYS_LAST_LOGIN,NUM_LOGINS_6M,NUM_WKDAY_LOGIN_6M,NUM_WKEND_LOGIN_6M,Measures.Call_Duration_mean,Measures.Call_Duration_min,Measures.Call_Duration_max,DEPT_Retention Inbound,DEPT_Retention Outbound,MAX_RING_DURATION_6M,MAX_TALK_DURATION_3M,NUM_INTERACTION_3M,EMAIL_T1_ISP_FLG,EMAIL_T2_ISP_FLG,EMAIL_WEBMAIL_FLG
1997719,10419401,55.0,1,1,0,,,,,,,,0,0,0,0
575751,3355839,1571.0,0,0,0,,,,,,,,0,0,0,1
558445,18122469,,0,0,0,,,,,,,,1,0,0,0
1732414,8637373,,0,0,0,,,,,,,,1,0,0,1
1043889,16951557,,0,0,0,,,,,,0.0,0.0,0,0,0,0
1568518,22208059,,0,0,0,,,,,,,,0,0,0,1
820359,18866913,35.0,8,8,0,,,,,,,,7,0,0,1
659299,24927283,,0,0,0,,,,,,,,0,0,0,0
1725583,25163365,,0,0,0,1207.0,164.0,1775.0,0.0,0.0,,,4,1,0,0
673377,16534931,,0,0,0,,,,,,,,0,0,0,0
1803089,13850147,94.0,20,20,0,,,,,,,,0,0,0,0
1132115,8649843,127.0,4,4,0,,,,,,,,1,1,0,0
1852069,21913923,32.0,17,12,5,866.5,173.0,1560.0,0.0,0.0,,,3,1,0,0
602636,20997177,70.0,2,2,0,1618.25,522.0,2850.0,0.0,0.0,,,1,0,0,1
114449,25194797,,0,0,0,,,,,,,,1,0,0,0
581241,18270211,1100.0,0,0,0,,,,,,,,2,0,0,1
1154369,11468729,,0,0,0,,,,,,,,1,0,0,0
352288,23399619,,0,0,0,,,,,,,,0,0,0,0
318405,20342219,,0,0,0,,,,,,,,2,0,0,0
1425953,18116525,914.0,0,0,0,,,,,,,,0,0,0,1
1201162,12328157,,0,0,0,120.0,67.0,213.0,0.0,0.0,,,0,0,0,1
1080641,14933035,,0,0,0,,,,,,,,0,0,0,0
1975210,17473685,93.0,1,1,0,,,,,,,,1,0,0,1
1005120,17577919,20.0,1,1,0,1029.0,305.0,1753.0,0.0,0.0,1650.0,49.0,0,1,0,0
512019,10950291,97.0,1,1,0,,,,,,,,1,0,0,1
1897418,14583905,,0,0,0,,,,,,,,1,0,0,0
217453,576323,7.0,1,1,0,,,,,,,,0,1,0,0
768847,7556071,164.0,4,4,0,,,,,,,,2,0,0,1
887800,16822865,45.0,3,3,0,1176.0,455.0,1812.0,0.0,0.0,,,2,1,0,0
1297808,5956607,16.0,6,6,0,,,,,,,,2,0,0,0
1550646,10140371,65.0,1,1,0,,,,,,,,0,1,0,0
183346,25526995,13.0,3,3,0,,,,,,,,0,0,0,1
1172356,19454821,408.0,0,0,0,,,,,,,,5,0,0,1
1687075,3650215,2176.0,0,0,0,,,,,,,,0,0,0,1
1125730,17118921,973.0,0,0,0,,,,,,,,0,0,0,1
606820,23867037,,0,0,0,,,,,,,,0,0,0,0
1029878,23944399,84.0,1,1,0,,,,,,,,0,0,0,0
99322,5182145,2037.0,0,0,0,,,,,,,,0,0,0,1
166664,24781521,134.0,18,16,2,398.66666666666674,172.0,832.0,0.0,0.0,3.0,835.0,9,0,0,1
2242178,23194499,488.0,0,0,0,,,,,,,,0,0,0,1
785804,20144373,1256.0,0,0,0,,,,,,,,1,0,0,1
1518396,4440203,119.0,2,2,0,,,,,,,,0,0,0,0
1952708,5514229,,0,0,0,,,,,,,,5,0,0,0
828217,23194451,,0,0,0,,,,,,,,2,0,0,1
1828922,20332495,,0,0,0,,,,,,,,0,0,0,1
1194002,24452069,,0,0,0,,,,,,,,0,0,0,1
2319648,18954807,,0,0,0,,,,,,,,1,0,0,1
1599166,23909887,170.0,10,10,0,486.0,486.0,486.0,0.0,0.0,,,0,0,0,1
1442646,15471617,178.0,3,3,0,,,,,,,,0,0,0,1
2089558,7333529,226.0,0,0,0,395.0,53.0,737.0,0.0,0.0,,,1,0,0,1
451153,2858611,3.0,8,8,0,,,,,,,,1,0,0,1
506782,21477109,79.0,4,4,0,,,,,,,,0,0,0,0
1610430,19805719,197.0,0,0,0,,,,,,,,2,0,0,1
1440422,12727593,85.0,2,2,0,,,,,,,,0,0,0,1
1170532,7231835,3.0,13,13,0,,,,,,26.0,0.0,3,1,0,0
811898,23019651,,0,0,0,,,,,,,,0,0,0,1
2232481,22582381,,0,0,0,,,,,,,,0,0,0,1
1883625,12621461,,0,0,0,,,,,,,,0,0,0,0
352229,25481523,,0,0,0,132.0,132.0,132.0,0.0,0.0,3.0,210.0,2,0,0,0
31763,20799289,15.0,1,1,0,,,,,,,,1,0,0,1
1000958,17200249,426.0,0,0,0,,,,,,,,3,0,0,0
1884021,2817511,1311.0,0,0,0,,,,,,,,1,0,0,1
2316134,24732691,188.0,0,0,0,971.5,373.0,1570.0,0.0,0.0,,,0,0,0,1
130015,24142041,,0,0,0,,,,,,,,1,0,0,0
370944,24217155,30.0,6,4,2,,,,,,,,0,0,0,1
721012,6606465,53.0,10,9,1,,,,,,,,0,0,0,1
435423,16238601,,0,0,0,702.0,702.0,702.0,0.0,0.0,,,0,0,0,0
2020233,24260879,127.0,1,1,0,,,,,,,,0,0,0,1
1594952,4756909,137.0,2,0,2,,,,,,,,1,0,0,1
377496,3399245,,0,0,0,,,,,,,,1,0,0,0
307508,2295817,,0,0,0,,,,,,,,1,0,0,0
207249,9442685,32.0,1,0,1,,,,,,,,0,0,0,1
1684036,21682799,,0,0,0,,,,,,,,0,0,0,1
1750126,3241791,,0,0,0,,,,,,,,0,0,0,0
1578855,24526581,,0,0,0,83.0,83.0,83.0,0.0,1.0,,,0,0,0,1
1905013,7566059,1856.0,0,0,0,,,,,,,,0,1,0,0
1311452,17653953,1357.0,0,0,0,,,,,,,,1,0,0,1
1735444,21428637,71.0,13,11,2,,,,,,,,2,0,0,1
539854,10408225,291.0,0,0,0,,,,,,,,2,0,0,1
1915182,22243773,,0,0,0,,,,,,,,0,1,0,0
226656,9108231,156.0,6,6,0,1080.3333333333333,147.0,1765.0,0.0,0.0,,,1,1,0,0
2010176,21617749,317.0,0,0,0,479.0,479.0,479.0,0.0,0.0,,,1,0,0,0
569671,25183605,6.0,58,44,14,1383.333333333333,462.0,2405.0,0.0,0.0,,,5,0,0,1
461294,24666187,,0,0,0,,,,,,,,0,0,0,1
1569002,21209741,,0,0,0,,,,,,,,0,0,0,1
1070184,18104251,,0,0,0,,,,,,,,1,0,0,1
1867897,9046331,,0,0,0,,,,,,,,0,1,0,0
1488668,23989087,,0,0,0,479.0,35.0,1088.0,0.0,0.0,,,2,0,0,1
1284658,24539329,66.0,1,1,0,269.0,269.0,269.0,0.0,0.0,2433.0,0.0,3,0,0,1
126692,2247325,231.0,0,0,0,,,,,,,,0,0,0,1
277288,25494281,,0,0,0,,,,,,,,1,0,0,1
829122,8405607,1744.0,0,0,0,,,,,,,,1,0,0,1
470127,18055175,37.0,6,6,0,,,,,,,,0,0,0,1
1298232,7553447,,0,0,0,,,,,,,,0,0,0,0
1637302,25353529,32.0,3,1,2,,,,,,,,3,0,0,1
50408,10312857,15.0,10,7,3,,,,,,,,0,1,0,0
1292270,581797,,0,0,0,,,,,,,,0,0,0,1
831312,12975951,,0,0,0,,,,,,,,1,0,0,0
2155457,17378345,101.0,1,1,0,,,,,,,,1,0,0,1
2151168,24307017,21.0,3,3,0,,,,,,,,0,0,0,1
2162813,9248301,,0,0,0,547.0,547.0,547.0,0.0,0.0,,,5,0,0,0
1652598,23121499,62.0,4,4,0,,,,,,,,1,0,0,1
251914,14333047,1506.0,0,0,0,875.4285714285713,290.0,1629.0,0.0,0.0,3.0,691.0,7,0,0,1
801229,7214569,,0,0,0,,,,,,,,0,0,0,0
2323354,5442827,1030.0,0,0,0,,,,,,,,1,1,0,0
2113759,25508569,,0,0,0,510.0,510.0,510.0,0.0,0.0,,,3,0,0,1
1777509,19735507,,0,0,0,,,,,,,,0,0,0,1
992329,25040029,,0,0,0,,,,,,,,1,0,0,1
